Rk,Name,Age,Tm,PA,Outs,RC,RC/G,AIR,BAbip,BA,lgBA,OBP,lgOBP,SLG,lgSLG,OPS?,lgOPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd,Pos Summary
167,Jose Marmolejos*\marmojo01,27,SEA,115,88,11,3.3,93,0.232,0.206,0.236,0.261,0.311,0.411,0.403,0.672,0.713,86,0.352,-2.4,-0.2,0.591,0.262,0.206,0,7D/3H9
168,Danny Jansen\janseda01,25,TOR,147,103,15,3.8,99,0.190,0.183,0.243,0.313,0.319,0.358,0.414,0.671,0.733,85,0.417,-2.3,-0.2,0.667,0.35,0.175,0,*2/H
169,Dwight Smith Jr.*\smithdw02,27,BAL,72,51,8,4.1,99,0.279,0.222,0.243,0.306,0.319,0.365,0.414,0.671,0.733,84,0.451,-1.3,-0.1,0.64,0.27,0.143,1.3,7/DH
170,Nick Solak\solakni01,25,TEX,233,164,25,4,100,0.320,0.268,0.245,0.326,0.321,0.344,0.418,0.671,0.739,84,0.438,-4,-0.4,0.619,0.191,0.077,3.1,748/D3H
171,Estevan Florial*\flories01,22,NYY,3,2,0,0,97,1.000,0.333,0.241,0.333,0.316,0.333,0.411,0.667,0.727,87,0,-0.1,0,0.5,0,0,,/8
172,Austin Meadows*\meadoau01,25,TBR,152,108,16,3.9,95,0.288,0.205,0.238,0.296,0.313,0.371,0.407,0.667,0.720,86,0.425,-2.1,-0.2,0.651,0.303,0.167,2.7,7/D9H
173,Albert Pujols\pujolal01,40,LAA,163,123,15,3.2,99,0.230,0.224,0.243,0.270,0.319,0.395,0.414,0.665,0.733,80,0.341,-4.5,-0.5,0.574,0.23,0.171,0,3D/H
174,Tony Kemp*\kempto01,28,OAK,114,74,13,4.6,93,0.284,0.247,0.236,0.363,0.311,0.301,0.403,0.664,0.714,92,0.503,0.3,0,0.69,0.237,0.054,0,*4/H7D
175,Danny Mendick\mendida01,26,CHW,114,86,11,3.3,98,0.288,0.243,0.242,0.281,0.317,0.383,0.412,0.664,0.730,81,0.361,-3.1,-0.3,0.553,0.187,0.14,0,Apr-65
176,Jordan Luplow\luplojo01,26,CLE,92,68,8,3.1,102,0.224,0.192,0.247,0.304,0.324,0.359,0.422,0.663,0.745,79,0.327,-2.1,-0.2,0.612,0.308,0.167,0,7/9H
177,Yuli Gurriel\gourryu01,36,HOU,230,174,21,3.1,101,0.235,0.232,0.246,0.274,0.322,0.384,0.420,0.658,0.742,76,0.337,-7,-0.7,0.562,0.204,0.152,0,*3/DH
