Rk,Name,Age,Tm,PA,Outs,RC,RC/G,AIR,BAbip,BA,lgBA,OBP,lgOBP,SLG,lgSLG,OPS?,lgOPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd,Pos Summary
255,Braden Bishop\bishobr01,26,SEA,34,26,2,2,93,0.250,0.167,0.236,0.242,0.311,0.233,0.403,0.476,0.714,36,0.182,-2.5,-0.3,0.44,0.167,0.067,0,/987
256,Michael Perez*\perezmi03,27,TBR,93,74,5,1.8,95,0.228,0.167,0.238,0.237,0.313,0.238,0.407,0.475,0.720,34,0.15,-7.5,-0.7,0.384,0.155,0.071,0,2/3H
257,Dawel Lugo\lugoda01,25,DET,11,9,0,0,100,0.222,0.200,0.245,0.273,0.321,0.200,0.418,0.473,0.739,33,0,-1,-0.1,0.333,0.1,0,,/5HD4
258,Jordy Mercer\mercejo03,33,TOT,22,17,1,1.5,98,0.222,0.200,0.243,0.273,0.318,0.200,0.414,0.473,0.732,34,0.12,-1.8,-0.2,0.353,0.1,0,,/635H
259,Luis Rengifo#\rengilu01,23,LAA,106,81,6,1.9,99,0.206,0.156,0.243,0.269,0.319,0.200,0.414,0.469,0.733,33,0.173,-8.4,-0.8,0.443,0.222,0.044,1.5,4/5H6
260,Thairo Estrada\estrath01,24,NYY,52,40,3,2,97,0.250,0.167,0.241,0.231,0.316,0.229,0.411,0.460,0.726,29,0.176,-4.9,-0.5,0.4,0.104,0.063,1,4/5H6
261,Eli White\whiteel04,26,TEX,52,41,3,1.9,100,0.273,0.188,0.245,0.231,0.321,0.229,0.418,0.460,0.739,27,0.169,-4.9,-0.5,0.375,0.104,0.042,0,7/9H8D
262,Daniel Vogelbach*\vogelda01,27,TOT,69,53,3,1.5,94,0.075,0.088,0.237,0.246,0.311,0.211,0.404,0.457,0.715,31,0.113,-5.2,-0.5,0.453,0.333,0.123,0,D/H
263,Bubba Starling\starlbu01,27,KCR,64,50,3,1.6,100,0.281,0.169,0.245,0.219,0.321,0.237,0.418,0.456,0.739,25,0.124,-6.3,-0.6,0.367,0.136,0.068,0,8/HD79
264,Scott Heineman\heinesc01,27,TEX,54,45,3,1.7,100,0.175,0.154,0.245,0.185,0.321,0.269,0.418,0.454,0.739,22,0.146,-5.7,-0.6,0.422,0.212,0.115,1.5,8/H7D39
265,Jack Mayfield\mayfija01,29,HOU,47,37,2,1.4,101,0.276,0.190,0.246,0.239,0.322,0.214,0.420,0.453,0.742,25,0.104,-4.4,-0.4,0.343,0.071,0.024,,/564HD
266,Donovan Walton*\waltodo01,26,SEA,14,13,0,0,93,0.250,0.154,0.236,0.214,0.311,0.231,0.403,0.445,0.713,26,0,-1.3,-0.1,0.308,0.077,0.077,,/64
267,Kelvin Gutierrez\gutieke01,25,KCR,12,8,1,3.3,100,0.333,0.111,0.245,0.333,0.321,0.111,0.418,0.444,0.739,30,0.352,-0.8,-0.1,0.5,0.333,0,,/5DH
268,Andrew Benintendi*\beninan01,25,BOS,52,39,2,1.3,103,0.182,0.103,0.248,0.314,0.325,0.128,0.423,0.442,0.748,27,0.096,-3.7,-0.4,0.474,0.282,0.026,0,7/H
269,Joe Hudson\hudsojo03,29,SEA,20,15,1,1.7,93,0.250,0.176,0.236,0.263,0.311,0.176,0.403,0.440,0.713,29,0.146,-1.6,-0.2,0.357,0.118,0,,/2
270,Bryan Holaday\holadbr01,32,BAL,33,27,1,1,99,0.227,0.161,0.243,0.212,0.318,0.194,0.414,0.406,0.733,13,0.055,-3.8,-0.4,0.296,0.097,0.032,,2/H3D1
271,Eric Haase\haaseer01,27,DET,19,15,1,1.7,100,0.250,0.176,0.245,0.211,0.321,0.176,0.418,0.387,0.739,8,0.146,-2.2,-0.2,0.286,0.059,0,,/2
272,Nicky Delmonico*\delmoni01,27,CHW,22,19,0,0,98,0.167,0.150,0.242,0.227,0.317,0.150,0.412,0.377,0.730,8,0,-2.6,-0.3,0.263,0.1,0,,/97
273,Robinson Chirinos\chiriro01,36,TEX,49,41,1,0.6,100,0.161,0.119,0.245,0.224,0.321,0.143,0.418,0.367,0.739,4,0.026,-5.6,-0.6,0.3,0.143,0.024,,2/DH
274,Brandon Drury\drurybr01,27,TOR,49,40,2,1.3,99,0.184,0.152,0.243,0.184,0.318,0.174,0.414,0.358,0.733,0,0.092,-6.4,-0.6,0.256,0.065,0.022,,5/46H
275,Tzu-Wei Lin*\lintz02,26,BOS,57,48,2,1.1,103,0.222,0.154,0.248,0.182,0.325,0.173,0.423,0.355,0.748,-3,0.067,-7.6,-0.8,0.244,0.058,0.019,,6/4H7982D1
276,Oscar Mercado\mercaos01,25,CLE,93,77,3,1,102,0.169,0.128,0.247,0.174,0.324,0.174,0.422,0.348,0.745,-5,0.06,-12.9,-1.3,0.307,0.14,0.047,1.5,87/HD
277,Mallex Smith*\smithma05,27,SEA,47,40,1,0.7,93,0.188,0.133,0.236,0.170,0.311,0.178,0.403,0.348,0.713,-1,0.028,-6.1,-0.6,0.3,0.133,0.044,0,8-Sep
278,Joseph Odom\odomjo01,28,SEA,44,36,1,0.7,93,0.263,0.128,0.236,0.209,0.311,0.128,0.403,0.338,0.714,-1,0.033,-5.3,-0.5,0.257,0.103,0,,2/H
279,Chris Davis*\davisch02,34,BAL,55,46,2,1.1,99,0.171,0.115,0.243,0.164,0.319,0.173,0.414,0.337,0.733,-7,0.073,-7.7,-0.8,0.261,0.115,0.058,,3/H
280,Mason Williams*\willima10,28,BAL,18,17,0,0,99,0.222,0.111,0.243,0.111,0.319,0.222,0.414,0.333,0.733,-11,0,-2.9,-0.3,0.235,0.056,0.111,,/78H9
281,Brandon Dixon\dixonbr01,28,DET,14,13,0,0,100,0.111,0.077,0.245,0.143,0.321,0.154,0.418,0.297,0.739,-19,0,-2.2,-0.2,0.231,0.154,0.077,,/37H4
282,Sherten Apostel\apostsh01,21,TEX,21,18,0,0,100,0.182,0.100,0.245,0.143,0.321,0.150,0.418,0.293,0.739,-20,0,-3.4,-0.3,0.222,0.1,0.05,,/35
283,Zack Collins*\colliza01,25,CHW,18,15,0,0,98,0.091,0.063,0.242,0.167,0.317,0.125,0.412,0.292,0.730,-17,0,-2.6,-0.3,0.267,0.188,0.063,,/DH23
284,Derek Hill\hillde01,24,DET,12,10,0,0,100,0.200,0.091,0.245,0.167,0.321,0.091,0.418,0.258,0.739,-26,0,-2,-0.2,0.2,0.091,0,,8/HD
285,Daniel Johnson*\johnsda07,24,CLE,13,11,0,0,102,0.143,0.083,0.247,0.154,0.324,0.083,0.422,0.237,0.745,-33,0,-2.3,-0.2,0.182,0.083,0,,/97H
286,Garrett Stubbs*\stubbga01,27,HOU,10,10,0,0,101,0.111,0.125,0.246,0.111,0.322,0.125,0.420,0.236,0.742,-36,0,-1.5,-0.2,0.125,-0.125,0,,/2H7
287,Reese McGuire*\mcguire01,25,TOR,45,43,0,0,99,0.069,0.073,0.243,0.073,0.318,0.146,0.414,0.220,0.733,-42,0,-8.1,-0.8,0.154,0.073,0.073,0,2/H
288,Erick Mejia#\mejiaer01,25,KCR,16,14,0,0,100,0.143,0.071,0.245,0.071,0.321,0.143,0.418,0.214,0.739,-44,0,-2.8,-0.3,0.231,0.143,0.071,0,/5H74
289,Franklin Barreto\barrefr02,24,TOT,28,25,0,0,97,0.167,0.074,0.240,0.107,0.316,0.074,0.410,0.181,0.726,-48,0,-5.5,-0.6,0.16,0.037,0,0,H/465D7
290,Beau Taylor*\taylobe11,30,CLE,24,21,0,0,102,0.083,0.048,0.247,0.130,0.324,0.048,0.422,0.178,0.745,-48,0,-4.5,-0.5,0.15,0.095,0,,/2
291,Austin Hedges\hedgeau01,27,CLE,12,11,0,0,102,0.143,0.083,0.247,0.083,0.324,0.083,0.422,0.167,0.745,-54,0,-2.6,-0.3,0.091,0,0,,/2
292,Dilson Herrera\herredi01,26,BAL,6,5,0,0,99,0.000,0.000,0.243,0.167,0.319,0.000,0.414,0.167,0.733,-48,0,-1,-0.1,0.2,0,0,,/38H
293,Adolis García\garciad02,27,TEX,7,6,0,0,100,0.000,0.000,0.245,0.143,0.321,0.000,0.418,0.143,0.739,-56,0,-1.3,-0.1,0.167,0.167,0,,/7
294,Ryan Goins*\goinsry01,32,CHW,10,9,0,0,98,0.000,0.000,0.242,0.100,0.317,0.000,0.412,0.100,0.730,-68,0,-2.1,-0.2,0.111,0.111,0,,/HD564
295,Seth Brown*\brownse01,27,OAK,5,5,0,0,93,0.000,0.000,0.236,0.000,0.311,0.000,0.403,0.000,0.713,-100,0,-1.3,-0.1,0,0,0,,/H3D
296,Cheslor Cuthbert\cuthbch01,27,CHW,1,1,0,0,98,0.000,0.000,0.242,0.000,0.317,0.000,0.412,0.000,0.729,-100,0,-0.3,0,0,0,0,,/5H
297,Yermin Mercedes\merceye01,27,CHW,1,1,0,0,98,0.000,0.000,0.242,0.000,0.317,0.000,0.412,0.000,0.729,-100,0,-0.3,0,0,0,0,,/DH
298,Nate Orf\orfna01,30,OAK,7,7,0,0,93,0.000,0.000,0.236,0.000,0.311,0.000,0.403,0.000,0.713,-100,0,-1.9,-0.2,0,0,0,,/H64
299,Matt Reynolds\reynoma03,29,KCR,11,11,0,0,100,0.000,0.000,0.245,0.000,0.321,0.000,0.418,0.000,0.739,-100,0,-3.1,-0.3,0,0,0,,/5
300,Yadiel Rivera\riverya01,28,TEX,5,5,0,0,100,0.000,0.000,0.245,0.000,0.321,0.000,0.418,0.000,0.739,-100,0,-1.4,-0.1,0.2,0.2,0,0,/H634
301,Aaron Whitefield\whiteaa01,23,MIN,1,1,0,0,98,0.000,0.000,0.242,0.000,0.317,0.000,0.412,0.000,0.729,-100,0,-0.3,0,0,0,0,,/8H
